,accuracy_mean,precision_weighted_mean,recall_weighted_mean,f1_weighted_mean,roc_auc_mean
Random Forest,0.5883333333333334,0.5883495348095721,0.5883333333333334,0.5876731475659738,0.6217506560464325
Support Vector Machine,0.5433333333333333,0.5584540034320595,0.5433333333333333,0.5185450569954821,0.601580763174956
Logistic Regression,0.5433333333333333,0.5445006946047222,0.5433333333333333,0.5424158761617622,0.5536786607390942
XGBoost,0.65,0.6505641881394375,0.65,0.6496271933696557,0.6792664165972029
Naive Bayes,0.5433333333333332,0.5521039682650949,0.5433333333333332,0.5228813308232179,0.5726582075267823
K-Nearest Neighbors,0.5266666666666666,0.5273425592343071,0.5266666666666666,0.5254469580547717,0.564538220493347
Decision Tree,0.5433333333333333,0.5445215742674803,0.5433333333333333,0.5409126742712467,0.5375078725571918
Deep Neural Network,0.5650000000000001,0.5501098392948294,0.5566666666666666,0.5233956339350623,0.5763567657682691
