Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.588 ± 0.039,0.588 ± 0.039,0.588 ± 0.039,0.588 ± 0.040
Support Vector Machine,0.543 ± 0.028,0.558 ± 0.035,0.543 ± 0.028,0.519 ± 0.031
Logistic Regression,0.543 ± 0.016,0.545 ± 0.016,0.543 ± 0.016,0.542 ± 0.016
XGBoost,0.650 ± 0.056,0.651 ± 0.055,0.650 ± 0.056,0.650 ± 0.056
Naive Bayes,0.543 ± 0.043,0.552 ± 0.047,0.543 ± 0.043,0.523 ± 0.053
K-Nearest Neighbors,0.527 ± 0.037,0.527 ± 0.037,0.527 ± 0.037,0.525 ± 0.037
Decision Tree,0.543 ± 0.018,0.545 ± 0.018,0.543 ± 0.018,0.541 ± 0.017
Deep Neural Network,0.565 ± 0.015,0.550 ± 0.027,0.557 ± 0.038,0.523 ± 0.035
